F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.02498371
y: 0.048087887
z: 0.038230468
","x: -0.045927346
y: 0.035326898
z: 0.022866093
","x: -0.07090028
y: 0.018619087
z: -0.007273771
","x: -0.09573336
y: 0.003898819
z: -0.014831747
","x: -0.015974069
y: -0.007851029
z: -0.0008192931
","x: -0.020188272
y: -0.037563697
z: -0.0059142187
","x: -0.020674355
y: -0.055865567
z: -0.014374889
","x: -0.017334966
y: -0.074760966
z: -0.044064112
","x: -0.000583221
y: -0.00443435
z: 7.413428e-06
","x: 0.010877959
y: -0.026721677
z: -0.015895939
","x: 0.027210213
y: -0.038883273
z: -0.034836378
","x: 0.041040294
y: -0.05632936
z: -0.06744687
"
"x: -0.024313767
y: 0.044102527
z: 0.043934725
","x: -0.044971187
y: 0.03359234
z: 0.025452893
","x: -0.068704054
y: 0.018451793
z: -0.007313308
","x: -0.0919394
y: 0.0060986513
z: -0.019543026
","x: -0.015765835
y: -0.008508782
z: -0.0012291882
","x: -0.020543657
y: -0.038738433
z: -0.008018298
","x: -0.021288551
y: -0.05627639
z: -0.017363457
","x: -0.017210998
y: -0.074325085
z: -0.04799193
","x: -0.00063179346
y: -0.004931304
z: -0.00052855746
","x: 0.01047571
y: -0.02691784
z: -0.015775513
","x: 0.024382517
y: -0.040454015
z: -0.03671548
","x: 0.038527012
y: -0.05473653
z: -0.072530955
"
"x: -0.022296663
y: 0.047575552
z: 0.04301106
","x: -0.045257576
y: 0.036237594
z: 0.024643326
","x: -0.069800004
y: 0.019997096
z: -0.010041792
","x: -0.093320854
y: 0.007930938
z: -0.018836781
","x: -0.016774537
y: -0.008694095
z: -0.0023492163
","x: -0.021577623
y: -0.038440913
z: -0.008090164
","x: -0.022901697
y: -0.05580213
z: -0.016948739
","x: -0.020213306
y: -0.073276825
z: -0.04614902
","x: -0.00068499194
y: -0.005027745
z: -0.000633069
","x: 0.010183676
y: -0.02745821
z: -0.016034633
","x: 0.02653006
y: -0.040494192
z: -0.034983315
","x: 0.04069691
y: -0.056852862
z: -0.06806121
"
"x: -0.02152463
y: 0.04576551
z: 0.04348
","x: -0.04470123
y: 0.03475505
z: 0.025751915
","x: -0.06991606
y: 0.020646373
z: -0.0079954695
","x: -0.09327911
y: 0.008236641
z: -0.018608939
","x: -0.015550953
y: -0.008063048
z: -0.0019531085
","x: -0.020440625
y: -0.037846033
z: -0.0071281395
","x: -0.022565108
y: -0.056051485
z: -0.015439648
","x: -0.020210084
y: -0.07452445
z: -0.04426384
","x: -0.00058948476
y: -0.0048863376
z: -0.00067315367
","x: 0.00963933
y: -0.026119648
z: -0.01640148
","x: 0.025214177
y: -0.03836738
z: -0.035697605
","x: 0.039471578
y: -0.05586614
z: -0.068488725
"
"x: -0.019177243
y: 0.04714857
z: 0.043419193
","x: -0.04402038
y: 0.03914363
z: 0.024920886
","x: -0.071171895
y: 0.027313009
z: -0.010554541
","x: -0.09551101
y: 0.019135725
z: -0.024092423
","x: -0.016070236
y: -0.008910892
z: -0.0015476645
","x: -0.021790821
y: -0.039758045
z: -0.007024865
","x: -0.023274316
y: -0.057978354
z: -0.016676385
","x: -0.020624194
y: -0.07523953
z: -0.044691324
","x: -0.0005953362
y: -0.005127996
z: -0.0006584607
","x: 0.009859126
y: -0.027841866
z: -0.01681752
","x: 0.024188532
y: -0.040879246
z: -0.035950985
","x: 0.03767113
y: -0.056634456
z: -0.06866464
"
"x: -0.019690283
y: 0.045656983
z: 0.04432724
","x: -0.043541994
y: 0.038338922
z: 0.026022254
","x: -0.070342556
y: 0.029265994
z: -0.009133284
","x: -0.095266216
y: 0.020543119
z: -0.024015239
","x: -0.015538496
y: -0.0082715945
z: -0.0010153982
","x: -0.021369906
y: -0.038122326
z: -0.0061772303
","x: -0.022732526
y: -0.057150554
z: -0.015506711
","x: -0.020510457
y: -0.07475848
z: -0.04311998
","x: -0.0005768078
y: -0.0047841785
z: -0.0005416669
","x: 0.009650782
y: -0.027346954
z: -0.017373428
","x: 0.02364772
y: -0.0397257
z: -0.037206937
","x: 0.037618738
y: -0.05637579
z: -0.07026621
"
"x: -0.017278908
y: 0.046011787
z: 0.044964794
","x: -0.04247122
y: 0.038773958
z: 0.026921093
","x: -0.070260525
y: 0.029298868
z: -0.0104797585
","x: -0.09444829
y: 0.020458871
z: -0.02501275
","x: -0.01587309
y: -0.007932047
z: -0.0013349277
","x: -0.022004629
y: -0.03732789
z: -0.0065764785
","x: -0.02381491
y: -0.056018397
z: -0.015596033
","x: -0.020132285
y: -0.073835865
z: -0.04265186
","x: -0.00068141875
y: -0.0045497096
z: -0.0009336083
","x: 0.009588028
y: -0.026805859
z: -0.017946646
","x: 0.025113598
y: -0.03824641
z: -0.039257873
","x: 0.039098307
y: -0.05473066
z: -0.073323086
"
"x: -0.020170147
y: 0.046913467
z: 0.04352517
","x: -0.04393215
y: 0.03961845
z: 0.025096452
","x: -0.07032328
y: 0.030180609
z: -0.01066857
","x: -0.09506834
y: 0.02205228
z: -0.022548974
","x: -0.015690235
y: -0.007751881
z: -0.0017237765
","x: -0.021808183
y: -0.037808392
z: -0.0063704345
","x: -0.02326008
y: -0.05754358
z: -0.013904113
","x: -0.020046605
y: -0.07616167
z: -0.04036282
","x: -0.0007211996
y: -0.0048663924
z: -0.00033007984
","x: 0.009334414
y: -0.027439408
z: -0.017501844
","x: 0.024727397
y: -0.039902307
z: -0.037093
","x: 0.038058545
y: -0.058084626
z: -0.068970285
"
"x: -0.019275658
y: 0.04686214
z: 0.04409638
","x: -0.04287238
y: 0.03984965
z: 0.025992738
","x: -0.06994465
y: 0.029578863
z: -0.009086631
","x: -0.09482059
y: 0.021234224
z: -0.023103092
","x: -0.015473323
y: -0.008194692
z: -0.0013800334
","x: -0.021858646
y: -0.03918892
z: -0.0066654324
","x: -0.023300823
y: -0.05769729
z: -0.014942681
","x: -0.020876268
y: -0.07556615
z: -0.042686842
","x: -0.0007870224
y: -0.005225993
z: -0.00033319165
","x: 0.00972341
y: -0.028431829
z: -0.016874883
","x: 0.025159195
y: -0.04208564
z: -0.036083087
","x: 0.03878505
y: -0.059048705
z: -0.06840587
"
"x: -0.017879099
y: 0.046975784
z: 0.044297077
","x: -0.042707406
y: 0.040018972
z: 0.0273511
","x: -0.07140602
y: 0.031166097
z: -0.00951315
","x: -0.09683696
y: 0.023648879
z: -0.024131168
","x: -0.015469074
y: -0.008639359
z: -0.0011503386
","x: -0.021896165
y: -0.0388398
z: -0.005629323
","x: -0.023581924
y: -0.057218544
z: -0.01516146
","x: -0.022194259
y: -0.07537293
z: -0.041758806
","x: -0.0007562601
y: -0.0049305987
z: -0.00079140597
","x: 0.0093114935
y: -0.028216127
z: -0.017385254
","x: 0.024758315
y: -0.040787496
z: -0.03699392
","x: 0.03701987
y: -0.058277015
z: -0.06758484
"
"x: -0.01836914
y: 0.0469893
z: 0.042514075
","x: -0.042998314
y: 0.040320713
z: 0.024828078
","x: -0.07034658
y: 0.032208994
z: -0.010759059
","x: -0.094727166
y: 0.025171082
z: -0.024055604
","x: -0.015408182
y: -0.007706272
z: -0.0010116765
","x: -0.02175177
y: -0.037426732
z: -0.005930136
","x: -0.022873292
y: -0.056676846
z: -0.01425216
","x: -0.021098092
y: -0.07501027
z: -0.040795114
","x: -0.00087201106
y: -0.0049127825
z: -0.00028750056
","x: 0.009467732
y: -0.027166685
z: -0.017417774
","x: 0.024524294
y: -0.0392225
z: -0.036614135
","x: 0.038031742
y: -0.057429694
z: -0.06750883
"
"x: -0.017409697
y: 0.046788022
z: 0.043618433
","x: -0.041968983
y: 0.04098882
z: 0.027365487
","x: -0.06985521
y: 0.032516867
z: -0.0084939785
","x: -0.09561637
y: 0.025778098
z: -0.023005847
","x: -0.015624814
y: -0.008054152
z: -0.00018976402
","x: -0.022320691
y: -0.038102318
z: -0.0051265135
","x: -0.023556538
y: -0.056804687
z: -0.013796372
","x: -0.021340108
y: -0.074833445
z: -0.040765036
","x: -0.0007774584
y: -0.004879395
z: -0.00036480615
","x: 0.008684637
y: -0.027632019
z: -0.017570032
","x: 0.023862114
y: -0.040701617
z: -0.03695701
","x: 0.036680207
y: -0.058605656
z: -0.06851301
"
"x: -0.018476302
y: 0.046244737
z: 0.043326855
","x: -0.043034486
y: 0.0411834
z: 0.025918018
","x: -0.07006476
y: 0.032611094
z: -0.010597305
","x: -0.09434381
y: 0.02636958
z: -0.025076274
","x: -0.015909301
y: -0.007175662
z: -0.0018875974
","x: -0.022461971
y: -0.03699256
z: -0.0068636974
","x: -0.024484945
y: -0.056115862
z: -0.016087634
","x: -0.02185217
y: -0.07373517
z: -0.043738224
","x: -0.00046676467
y: -0.0049822656
z: -0.00041603102
","x: 0.009321115
y: -0.02716604
z: -0.017693795
","x: 0.023610922
y: -0.03989225
z: -0.03694023
","x: 0.03690835
y: -0.05669893
z: -0.07100735
"
"x: -0.019106936
y: 0.046726618
z: 0.043198194
","x: -0.04332671
y: 0.041185275
z: 0.025970157
","x: -0.070578
y: 0.032983635
z: -0.010198776
","x: -0.095337644
y: 0.026480956
z: -0.023984771
","x: -0.015954077
y: -0.007865902
z: -0.0011729129
","x: -0.022544803
y: -0.038789306
z: -0.007136523
","x: -0.02415041
y: -0.057260867
z: -0.016227914
","x: -0.021637557
y: -0.07490464
z: -0.044426136
","x: -0.00072833366
y: -0.005022399
z: -0.00047979917
","x: 0.00887787
y: -0.027990295
z: -0.01767661
","x: 0.023112727
y: -0.041997883
z: -0.036922064
","x: 0.035760406
y: -0.05931187
z: -0.07060013
"
"x: -0.018413855
y: 0.046366103
z: 0.04414663
","x: -0.04331817
y: 0.040950734
z: 0.0271537
","x: -0.07210533
y: 0.03251743
z: -0.008282338
","x: -0.09767564
y: 0.025175568
z: -0.02254067
","x: -0.016308345
y: -0.0076267794
z: -0.0009341537
","x: -0.023469962
y: -0.038788073
z: -0.0061522536
","x: -0.024684846
y: -0.056775894
z: -0.015744697
","x: -0.022378022
y: -0.074436106
z: -0.043421216
","x: -0.00086014456
y: -0.0047252816
z: -0.00052119745
","x: 0.008972778
y: -0.027343707
z: -0.018699031
","x: 0.02421422
y: -0.04028317
z: -0.03813285
","x: 0.036071107
y: -0.056667574
z: -0.07074254
"
"x: -0.020007847
y: 0.045221716
z: 0.044557914
","x: -0.045411933
y: 0.03885852
z: 0.026474085
","x: -0.07222608
y: 0.028651467
z: -0.007949929
","x: -0.096932545
y: 0.019918475
z: -0.021594403
","x: -0.017193818
y: -0.007873372
z: -0.0019379065
","x: -0.022456065
y: -0.037714027
z: -0.007969836
","x: -0.024413137
y: -0.055269975
z: -0.016780032
","x: -0.021812437
y: -0.072333105
z: -0.047030486
","x: -0.0006918767
y: -0.0048889825
z: -0.0006541123
","x: 0.00923463
y: -0.02582031
z: -0.017579727
","x: 0.02267045
y: -0.03888162
z: -0.036619257
","x: 0.03561473
y: -0.055130836
z: -0.07052282
"
"x: -0.023030683
y: 0.0451728
z: 0.043534447
","x: -0.0466908
y: 0.036596924
z: 0.025521552
","x: -0.07150634
y: 0.023438402
z: -0.0073211105
","x: -0.0960735
y: 0.01235472
z: -0.019862559
","x: -0.016866336
y: -0.008337687
z: -0.001858526
","x: -0.02130985
y: -0.03767491
z: -0.007921234
","x: -0.023892455
y: -0.0558547
z: -0.01735937
","x: -0.021061484
y: -0.07232282
z: -0.049873885
","x: -0.00041643123
y: -0.004843034
z: -0.0008628445
","x: 0.008243336
y: -0.025608718
z: -0.017673308
","x: 0.021005116
y: -0.03917501
z: -0.037478175
","x: 0.032478973
y: -0.055342503
z: -0.070189595
"
"x: -0.023328144
y: 0.045853082
z: 0.040231835
","x: -0.046424903
y: 0.036311913
z: 0.0237087
","x: -0.07146871
y: 0.022360146
z: -0.00841413
","x: -0.09496634
y: 0.010365076
z: -0.019547518
","x: -0.016609024
y: -0.009134856
z: -0.0009767407
","x: -0.021987133
y: -0.037946537
z: -0.006885627
","x: -0.023332298
y: -0.05636551
z: -0.017021177
","x: -0.020865634
y: -0.071682274
z: -0.046964996
","x: -0.0003821974
y: -0.0047833077
z: -0.0006993717
","x: 0.010021782
y: -0.025644762
z: -0.016568154
","x: 0.023466585
y: -0.038542423
z: -0.036838196
","x: 0.036247626
y: -0.0543066
z: -0.07011207
"
"x: -0.02290075
y: 0.047042355
z: 0.04161545
","x: -0.04562005
y: 0.036288626
z: 0.024023091
","x: -0.07043776
y: 0.02044639
z: -0.00802743
","x: -0.09371596
y: 0.009053105
z: -0.017869873
","x: -0.016723467
y: -0.009415463
z: -0.0020297023
","x: -0.022493646
y: -0.03799676
z: -0.008604905
","x: -0.02363475
y: -0.056294832
z: -0.018661004
","x: -0.022043217
y: -0.07128688
z: -0.04880652
","x: -0.00044918864
y: -0.0051666405
z: -0.0008406817
","x: 0.00933623
y: -0.027345099
z: -0.01623522
","x: 0.022411842
y: -0.039901383
z: -0.03670364
","x: 0.035036523
y: -0.055084564
z: -0.070108004
"
"x: -0.026486069
y: 0.043572366
z: 0.043815028
","x: -0.047303163
y: 0.031003196
z: 0.027718557
","x: -0.06982156
y: 0.012332082
z: -0.0014168683
","x: -0.09272933
y: -0.002389926
z: -0.013282368
","x: -0.016252022
y: -0.009632763
z: -8.43595e-06
","x: -0.020403352
y: -0.038011424
z: -0.008468009
","x: -0.023197833
y: -0.054272734
z: -0.018132148
","x: -0.021646552
y: -0.069451936
z: -0.051685866
","x: -0.00012119126
y: -0.00534564
z: -0.00026638136
","x: 0.010431532
y: -0.025106385
z: -0.016296066
","x: 0.022585265
y: -0.03965877
z: -0.036206346
","x: 0.035061978
y: -0.05328381
z: -0.069985
"
"x: -0.027286986
y: 0.047661554
z: 0.037841696
","x: -0.04785192
y: 0.032605983
z: 0.024788776
","x: -0.069818355
y: 0.010630735
z: -0.0019242374
","x: -0.0931764
y: -0.007186086
z: -0.009471658
","x: -0.015913561
y: -0.009608908
z: 7.990266e-05
","x: -0.020781733
y: -0.03827252
z: -0.0058377353
","x: -0.02364361
y: -0.055267066
z: -0.014980124
","x: -0.021388799
y: -0.07100329
z: -0.046130065
","x: 0.00017519426
y: -0.0051775137
z: -5.7917814e-06
","x: 0.009779812
y: -0.025487317
z: -0.015925981
","x: 0.023464268
y: -0.038470093
z: -0.035584435
","x: 0.036727197
y: -0.05299374
z: -0.067609526
"
"x: -0.027170507
y: 0.045530524
z: 0.04043016
","x: -0.047268182
y: 0.030075414
z: 0.027286634
","x: -0.06892757
y: 0.008178682
z: 0.0008462708
","x: -0.09073577
y: -0.009672268
z: -0.007124396
","x: -0.01653591
y: -0.010464192
z: 0.00018351125
","x: -0.020339444
y: -0.038492378
z: -0.0072916285
","x: -0.023200216
y: -0.05512111
z: -0.017098997
","x: -0.021735955
y: -0.06924328
z: -0.048407916
","x: -4.944857e-06
y: -0.0054350835
z: -0.00023504556
","x: 0.009689062
y: -0.026072036
z: -0.016862078
","x: 0.0214132
y: -0.039341033
z: -0.03540013
","x: 0.03523638
y: -0.053868387
z: -0.067762025
"
"x: -0.027960047
y: 0.04488789
z: 0.040321536
","x: -0.046344206
y: 0.029246934
z: 0.0265449
","x: -0.06657617
y: 0.0074967407
z: -0.00092665566
","x: -0.08816128
y: -0.010642586
z: -0.008773256
","x: -0.015246031
y: -0.010117473
z: 0.00013838676
","x: -0.020398956
y: -0.037529398
z: -0.008026394
","x: -0.0230458
y: -0.054592393
z: -0.018734682
","x: -0.022334747
y: -0.06831891
z: -0.05136243
","x: 0.00034109704
y: -0.0053354194
z: -9.526055e-05
","x: 0.009800477
y: -0.025821036
z: -0.016721338
","x: 0.021715127
y: -0.03977492
z: -0.036375098
","x: 0.03462924
y: -0.05407117
z: -0.07113276
"
"x: -0.027708676
y: 0.04397837
z: 0.042099938
","x: -0.04681061
y: 0.029373845
z: 0.028286757
","x: -0.06738223
y: 0.0063779084
z: 0.001077436
","x: -0.09045332
y: -0.012404858
z: -0.0064746886
","x: -0.016995786
y: -0.008886233
z: -0.0012379872
","x: -0.020914232
y: -0.036758207
z: -0.009355621
","x: -0.0238959
y: -0.052281216
z: -0.019051552
","x: -0.023358513
y: -0.06724757
z: -0.050796732
","x: -0.000108935346
y: -0.0045516705
z: -0.00065053586
","x: 0.009110868
y: -0.024601128
z: -0.017160121
","x: 0.021376489
y: -0.038215254
z: -0.036944073
","x: 0.03426363
y: -0.051115297
z: -0.07094364
"
"x: -0.027962156
y: 0.044673324
z: 0.038339864
","x: -0.04633323
y: 0.02877317
z: 0.024721207
","x: -0.06485182
y: 0.0051295618
z: -0.0010559304
","x: -0.08620679
y: -0.015387822
z: -0.007887564
","x: -0.016042044
y: -0.009122077
z: -0.00019863293
","x: -0.020302616
y: -0.036041792
z: -0.00790686
","x: -0.023210827
y: -0.053209197
z: -0.018648654
","x: -0.022196025
y: -0.06638097
z: -0.05034874
","x: 0.00014088443
y: -0.004835527
z: -0.00032072046
","x: 0.009324335
y: -0.025068955
z: -0.01641397
","x: 0.021527166
y: -0.03844037
z: -0.035606537
","x: 0.035263635
y: -0.052957773
z: -0.068841256
"
"x: -0.028756911
y: 0.045383528
z: 0.0371013
","x: -0.047169924
y: 0.027620833
z: 0.02399917
","x: -0.06429961
y: 0.0013446985
z: 0.00050477654
","x: -0.08361506
y: -0.021972893
z: -0.0053501027
","x: -0.017381975
y: -0.008608878
z: -0.00067674986
","x: -0.02184494
y: -0.03606045
z: -0.008147809
","x: -0.024007834
y: -0.053177476
z: -0.018500272
","x: -0.023114568
y: -0.067080885
z: -0.048326176
","x: -0.00019342435
y: -0.0047095357
z: -0.00014012106
","x: 0.009050468
y: -0.02486545
z: -0.01722023
","x: 0.02101918
y: -0.038050693
z: -0.03590143
","x: 0.035321184
y: -0.052190486
z: -0.06769242
"
"x: -0.029499773
y: 0.04368045
z: 0.03690951
","x: -0.047431074
y: 0.027151503
z: 0.02506794
","x: -0.064293385
y: 0.0015905676
z: 0.00036856084
","x: -0.08380394
y: -0.020142034
z: -0.0075033987
","x: -0.016788375
y: -0.008197903
z: -0.001167543
","x: -0.021526042
y: -0.035992116
z: -0.008337295
","x: -0.024347462
y: -0.053474065
z: -0.017975805
","x: -0.02338291
y: -0.0682559
z: -0.0475635
","x: 0.00021064069
y: -0.0047551123
z: 5.2756295e-05
","x: 0.009485184
y: -0.024722693
z: -0.016296262
","x: 0.022722922
y: -0.03897785
z: -0.035569523
","x: 0.035976972
y: -0.052769445
z: -0.06991944
"
"x: -0.030662619
y: 0.043467574
z: 0.0384255
","x: -0.048294824
y: 0.027605755
z: 0.024197403
","x: -0.06461388
y: 0.0024631992
z: -0.0029784841
","x: -0.08450483
y: -0.02022327
z: -0.009673027
","x: -0.017303426
y: -0.008800146
z: -0.0022189838
","x: -0.021625988
y: -0.037050262
z: -0.00962239
","x: -0.02437776
y: -0.054922584
z: -0.020100703
","x: -0.023223544
y: -0.069486484
z: -0.052156363
","x: -8.791959e-05
y: -0.004645496
z: -0.0006008829
","x: 0.0101844035
y: -0.025604395
z: -0.016975112
","x: 0.023489514
y: -0.03913394
z: -0.03715292
","x: 0.036847305
y: -0.052776612
z: -0.073337235
"
"x: -0.029101903
y: 0.044612702
z: 0.03872064
","x: -0.046779543
y: 0.029189795
z: 0.025976358
","x: -0.063611954
y: 0.00378602
z: -0.0015905771
","x: -0.08501121
y: -0.018828345
z: -0.008844764
","x: -0.016887985
y: -0.008423826
z: -0.001153883
","x: -0.021100102
y: -0.035641763
z: -0.007678344
","x: -0.02428794
y: -0.051841512
z: -0.01885692
","x: -0.024029348
y: -0.06631826
z: -0.05102836
","x: 3.3045886e-05
y: -0.0040008007
z: -0.00056509936
","x: 0.009908227
y: -0.02511584
z: -0.016328275
","x: 0.023480421
y: -0.037731033
z: -0.036739726
","x: 0.0366547
y: -0.049927004
z: -0.071342915
"
"x: -0.029688148
y: 0.046972748
z: 0.03746739
","x: -0.047547746
y: 0.029605016
z: 0.02410074
","x: -0.06460931
y: 0.0045211194
z: -0.0038236529
","x: -0.084520236
y: -0.018706918
z: -0.011722407
","x: -0.016380174
y: -0.009005608
z: -0.0002600739
","x: -0.021157572
y: -0.03817647
z: -0.0057644513
","x: -0.023707304
y: -0.0563595
z: -0.016556144
","x: -0.021732131
y: -0.07180449
z: -0.045428026
","x: 0.00023142935
y: -0.004991126
z: -6.9574344e-05
","x: 0.010515346
y: -0.02740483
z: -0.015381773
","x: 0.024466755
y: -0.039599884
z: -0.03440915
","x: 0.038412713
y: -0.05409197
z: -0.06714236
"
"x: -0.02921097
y: 0.04595716
z: 0.037890043
","x: -0.04601738
y: 0.030231563
z: 0.024065886
","x: -0.06261118
y: 0.0054948386
z: -0.0052601607
","x: -0.08348185
y: -0.016360195
z: -0.013805249
","x: -0.016532991
y: -0.008207313
z: -0.0015415945
","x: -0.02111435
y: -0.037738867
z: -0.007483026
","x: -0.02395016
y: -0.055430498
z: -0.018578537
","x: -0.022674873
y: -0.07209661
z: -0.047574986
","x: 4.877575e-05
y: -0.0047024377
z: -0.00041463415
","x: 0.009887213
y: -0.027690157
z: -0.015595602
","x: 0.023929274
y: -0.040587973
z: -0.035031028
","x: 0.037442546
y: -0.053929448
z: -0.068695895
"
"x: -0.028442184
y: 0.046480056
z: 0.03872634
","x: -0.046427615
y: 0.031241711
z: 0.024105962
","x: -0.064712085
y: 0.0067805042
z: -0.0052491543
","x: -0.08477725
y: -0.013864197
z: -0.013504977
","x: -0.017979763
y: -0.008350256
z: -0.001921746
","x: -0.022168145
y: -0.038036555
z: -0.0076263715
","x: -0.024254628
y: -0.054884955
z: -0.018112307
","x: -0.022848405
y: -0.07256814
z: -0.04796029
","x: -0.00041765627
y: -0.004708335
z: -0.00050712744
","x: 0.010984564
y: -0.02757338
z: -0.01636601
","x: 0.024605904
y: -0.04044291
z: -0.035026852
","x: 0.039301153
y: -0.053624406
z: -0.0694237
"
"x: -0.027615448
y: 0.047497775
z: 0.03685402
","x: -0.046208385
y: 0.031920698
z: 0.023041736
","x: -0.0665269
y: 0.01015226
z: -0.0055166697
","x: -0.0867626
y: -0.0092213135
z: -0.013742486
","x: -0.01698609
y: -0.008318634
z: -0.0008769263
","x: -0.022759348
y: -0.03691498
z: -0.0063380445
","x: -0.024477366
y: -0.055673443
z: -0.016021425
","x: -0.021951556
y: -0.07407991
z: -0.043396857
","x: -0.00019996386
y: -0.0048450977
z: -7.804606e-06
","x: 0.010965329
y: -0.027347168
z: -0.01526618
","x: 0.025831068
y: -0.03911037
z: -0.033902988
","x: 0.039935015
y: -0.05453857
z: -0.066212445
"
"x: -0.019169575
y: 0.04344802
z: 0.047939986
","x: -0.040993795
y: 0.0376076
z: 0.028699467
","x: -0.06552743
y: 0.028254798
z: -0.009453933
","x: -0.08943425
y: 0.018466828
z: -0.023530368
","x: -0.015930424
y: -0.008288246
z: -0.0024015796
","x: -0.022804704
y: -0.038085558
z: -0.0076388605
","x: -0.024444144
y: -0.054232348
z: -0.018306646
","x: -0.02116274
y: -0.071022846
z: -0.04616182
","x: -0.00061108056
y: -0.0044152993
z: -0.0009172465
","x: 0.011329938
y: -0.028016895
z: -0.017193424
","x: 0.027268793
y: -0.039931066
z: -0.03738249
","x: 0.041665487
y: -0.052762337
z: -0.073472716
"
"x: -0.020382242
y: 0.043044586
z: 0.046469085
","x: -0.04310005
y: 0.036983
z: 0.02752254
","x: -0.06774113
y: 0.027905233
z: -0.009769282
","x: -0.092156865
y: 0.019046573
z: -0.025213584
","x: -0.015353913
y: -0.007993667
z: -0.0026447796
","x: -0.022069102
y: -0.036359373
z: -0.008920042
","x: -0.02410581
y: -0.052882403
z: -0.019928047
","x: -0.020690594
y: -0.06994099
z: -0.049403407
","x: -0.0006292496
y: -0.0046201413
z: -0.0008010802
","x: 0.011137141
y: -0.027100068
z: -0.016987214
","x: 0.026620489
y: -0.03879907
z: -0.0367511
","x: 0.04121232
y: -0.0527026
z: -0.07194996
"
"x: -0.019823398
y: 0.042507283
z: 0.046340786
","x: -0.042777836
y: 0.03664479
z: 0.026251685
","x: -0.06800899
y: 0.027594276
z: -0.01108793
","x: -0.09277985
y: 0.01847776
z: -0.024918735
","x: -0.015591868
y: -0.007983701
z: -0.0027057854
","x: -0.022258697
y: -0.037406698
z: -0.008954454
","x: -0.023854872
y: -0.05437479
z: -0.020268362
","x: -0.020579625
y: -0.070440926
z: -0.050177597
","x: -0.00044129515
y: -0.0042549414
z: -0.0009357541
","x: 0.011386416
y: -0.027040219
z: -0.016065693
","x: 0.027089434
y: -0.03913644
z: -0.03702502
","x: 0.04181812
y: -0.05280157
z: -0.07310037
"
